PUBLICATION_DATE,NTA_Code,NTA_Name,NTAAbbrev,Baseline,Control_Scenario_Temperature,Planned_Action_Temperature,Percent_Managed_by_Action
5/1/25,BX0102,Melrose,Mlrs,86.92,93.35,93.27,-1.24
5/1/25,BX0201,Hunts Point,HntsPt,87.28,93.68,93.62,-0.92
5/1/25,BX0202,Longwood,Lngwd,87.04,93.46,93.34,-1.77
5/1/25,BX0291,North & South Brother Islands,BrthrIsls,86.9,93.27,93.16,-1.78
5/1/25,BX0301,Morrisania,Mrrsnia,86.8,93.22,93.14,-1.35
5/1/25,BX0302,Claremont Village-Claremont (East),ClrmntVlg,86.53,92.93,92.8,-2.07
5/1/25,BX0303,Crotona Park East,CrtnaPkEst,86.9,93.27,93.16,-1.78
5/1/25,BX0391,Crotona Park,CrtnaPk,86.36,92.67,92.59,-1.26
5/1/25,BX0401,Concourse-Concourse Village,Cncrs,87.13,93.57,93.4,-2.54
5/1/25,BX0402,Highbridge,Hghbrdg,86.59,93,92.96,-0.61
5/1/25,BX0403,Mount Eden-Claremont (West),MtEdn,87.19,93.64,93.28,-5.61
5/1/25,BX0491,Yankee Stadium-Macombs Dam Park,YnkStdm,87.01,93.44,93.36,-1.22
5/1/25,BX0492,Claremont Park,ClrmntPk,86.89,93.31,93.03,-4.38
5/1/25,BX0501,University Heights (South)-Morris Heights,UnvrsHts_S,86.65,93.07,93.03,-0.61
5/1/25,BX0502,Mount Hope,MtHp,87.62,94.08,93.97,-1.67
5/1/25,BX0503,Fordham Heights,FrdhmHts,87.86,94.33,94.06,-4.13
5/1/25,BX0601,West Farms,WstFrms,86.98,93.36,92.92,-6.79
5/1/25,BX0602,Tremont,Trmnt,87.09,93.51,93.12,-5.97
5/1/25,BX0603,Belmont,Blmnt,87.11,93.46,93.16,-4.73
5/1/25,BX0701,University Heights (North)-Fordham,UnvrsHts_N,86.81,93.23,93,-3.55
5/1/25,BX0702,Bedford Park,BdfrdPk,86.95,93.37,92.89,-7.44
5/1/25,BX0703,Norwood,Nrwd,86.36,92.58,92.53,-0.95
5/1/25,BX0801,Kingsbridge Heights-Van Cortlandt Village,KngbrdgHts,86.63,93.04,92.97,-1.08
5/1/25,BX0802,Kingsbridge-Marble Hill,Kngbrdg,86.62,93,92.78,-3.49
5/1/25,BX0803,Riverdale-Spuyten Duyvil,Rvrdl,85.14,91.12,91.36,3.93
5/1/25,BX0901,Soundview-Bruckner-Bronx River,Sdvw_BxRvr,86.85,93.24,93.09,-2.32
5/1/25,BX0902,Soundview-Clason Point,Sdvw_ClsPt,85.03,91.15,91.09,-1.02
5/1/25,BX0903,Castle Hill-Unionport,CstlHl,86.74,93.08,92.85,-3.59
5/1/25,BX0904,Parkchester,Pkchstr,87.03,93.46,93.21,-3.86
5/1/25,BX0991,Soundview Park,SdvwPk,86.38,92.44,92.34,-1.55
5/1/25,BX1001,Westchester Square,WstchstrSq,86.76,93.15,92.99,-2.47
5/1/25,BX1002,Throgs Neck-Schuylerville,ThrgsNck,84.88,91,90.88,-1.95
5/1/25,BX1003,Pelham Bay-Country Club-City Island,PlhmBy,83.75,89.74,89.66,-1.28
5/1/25,BX1004,Co-op City,CoopCty,86.35,92.61,92.51,-1.48
