StateFIPS,State,CensusTract,Census Tract,Year,Annual number of extreme heat days,Data Comment,,"Heat Metric""Relative Threshold"
36,New York,36001000502,"Albany County, NY - 36001000502",2023,24,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000600,"Albany County, NY - 36001000600",2013,30,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000600,"Albany County, NY - 36001000600",2014,18,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000600,"Albany County, NY - 36001000600",2015,31,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000600,"Albany County, NY - 36001000600",2016,42,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000600,"Albany County, NY - 36001000600",2017,18,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000600,"Albany County, NY - 36001000600",2018,33,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000600,"Albany County, NY - 36001000600",2019,19,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000600,"Albany County, NY - 36001000600",2020,37,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000600,"Albany County, NY - 36001000600",2021,30,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000600,"Albany County, NY - 36001000600",2022,27,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000600,"Albany County, NY - 36001000600",2023,24,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000700,"Albany County, NY - 36001000700",2013,30,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000700,"Albany County, NY - 36001000700",2014,18,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000700,"Albany County, NY - 36001000700",2015,31,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000700,"Albany County, NY - 36001000700",2016,42,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000700,"Albany County, NY - 36001000700",2017,18,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000700,"Albany County, NY - 36001000700",2018,32,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000700,"Albany County, NY - 36001000700",2019,19,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000700,"Albany County, NY - 36001000700",2020,37,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000700,"Albany County, NY - 36001000700",2021,30,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000700,"Albany County, NY - 36001000700",2022,27,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000700,"Albany County, NY - 36001000700",2023,23,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
